8 17000
9 17000
9 22000
9 22000
9 17000
9 18000
9 18000
10 22000
11 30000
11 20000
13 20000
14 15000
14 24000
14 17000
18 20000
18 17000
18 15000
19 17000
19 20000
19 20000
20 20000
20 24000
20 17000
20 15000
22 22000
22 20000
22 20000
23 22000
23 18000
23 23000
23 17000
23 20000
23 24000
23 22000
23 15000
23 20000
23 22000
23 23000
24 15000
24 23000
24 20000
24 22000
24 18000
24 24000
24 22000
24 22000
24 20000
25 23000
25 22000
25 20000
25 18000
25 24000
25 15000
25 22000
25 20000
25 22000
26 22000
26 18000
26 15000
26 22000
26 24000
26 20000
26 23000
26 22000
27 18000
27 22000
27 24000
27 20000
27 22000
27 15000
27 23000
27 22000
28 22000
28 22000
28 24000
28 23000
28 30000
28 15000
28 18000
28 20000
28 22000
28 30000
29 22000
29 18000
29 15000
29 20000
29 22000
29 24000
29 30000
29 23000
29 22000
29 30000
30 22000
30 23000
30 18000
30 24000
30 15000
30 30000
30 20000
30 22000
30 22000
30 30000
31 22000
31 18000
31 22000
31 20000
31 30000
31 23000
31 15000
31 24000
31 30000
32 22000
32 23000
32 24000
32 30000
32 15000
32 18000
32 20000
32 22000
32 20000
32 30000
33 24000
33 20000
33 23000
33 30000
33 22000
33 18000
33 15000
33 22000
34 20000
34 24000
34 22000
34 22000
34 18000
34 23000
34 15000
34 30000
34 20000
34 30000
35 24000
35 22000
35 22000
35 15000
35 23000
35 30000
35 20000
35 18000
35 20000
36 18000
36 20000
36 24000
36 23000
36 15000
36 30000
36 22000
36 22000
